id,material_name,product_family,industry_level_1,category_level_2,application_level_3,application_function_details,has_variants,tds_found,validation_status,audit,recommendation,variant_relationship,related_variants,filename,type,company,brand,dosage,shelf_life,concentration,ingredients,packaging,storage_conditions,allergens,appearance,description
250,Lemon cloud,Lemon cloud,Beverages,Instant Drinks & Clouding,Instant RTD Mixes & Cloudy Beverages,"Provides cloud opacity, mouthfeel creaminess, body, and carrier functionality.",No,"No, and doesn't have variants",Analyst Proposed,Missing TDS - Urgent R&D Request,[Catalog TDS Reference Linked]: Bio Ingredints Portfolio B2B.PDF | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Single Product,None,Bio Ingredints Portfolio B2B.PDF,Food Ingredient,AWA Food Solutions,AWA Food Solutions,,24 months,,Lemon cloud,25 kg,"Store in a cool, dry place away from direct sunlight",None declared,,"Lemon cloud, food grade industrial ingredient."
251,Liquid Smoke,Liquid Smoke,Meat & Poultry,Processed Meat,Emulsified Sausages & Restructured Meat,"Optimizes meat protein binding, cured color fixation, texture cross-linking, and shelf-life extension in sausages, luncheon, and beef pastrami.",No,"No, and doesn't have variants",Analyst Proposed,Missing TDS - Urgent R&D Request,[Catalog TDS Reference Linked]: Bio Ingredints Portfolio B2B.PDF | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Single Product,None,Bio Ingredints Portfolio B2B.PDF,Food Ingredient,AWA Food Solutions,AWA Food Solutions,,24 months,,Liquid Smoke,25 kg,"Store in a cool, dry place away from direct sunlight",None declared,,"Liquid Smoke, food grade industrial ingredient."
252,Locust Bean Gum,Locust Bean Gum,Dairy,Frozen Dairy,Ice Cream & Frozen Desserts,"Delivers rapid cold hydration, binds free water, and eliminates icy crystal growth.",No,"No, and doesn't have variants",Analyst Proposed,Missing TDS - Urgent R&D Request,[Catalog TDS Reference Linked]: Bio Ingredints Portfolio B2B.PDF | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Single Product,None,Bio Ingredints Portfolio B2B.PDF,Stabilizer / Hydrocolloid,AWA Food Solutions,AWA Food Solutions,,24 months,,Locust Bean Gum,25 kg,"Store in a cool, dry place away from direct sunlight",None declared,,"Locust Bean Gum, food grade industrial ingredient."
253,L-Tartaric Acid China-25kg,L-Tartaric Acid China-25kg,Beverages,Carbonated Drinks,Cola / Carbonated Soft Drinks,"Provides crisp tart acidity, enhances fruit flavor perception, and regulates formulation pH.",No,"No, and doesn't have variants",Analyst Proposed,Missing TDS - Urgent R&D Request,[Catalog TDS Reference Linked]: Bio Ingredints Portfolio B2B.PDF | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Single Product,None,Bio Ingredints Portfolio B2B.PDF,Food Additive / Preservative / Buffer,AWA Food Solutions,AWA Food Solutions,,24 months,,L-Tartaric Acid China-25kg,25kg,"Store in a cool, dry place away from direct sunlight",None declared,,"L-Tartaric Acid China-25kg, food grade industrial ingredient."
254,Lutein WS 10%,Lutein Natural Color,Confectionery,Sugar Confectionery,Hard / Soft Candies,Brilliant lemon-yellow natural shade with clean sensory profile.,Yes,Not found for any variants,Analyst Proposed,Missing TDS - Urgent R&D Request,[Catalog TDS Reference Linked]: Natural Colors (TDS)s.pdf | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Concentration / Grade Variant (Same Application),Lutein WS 5%,Natural Colors (TDS)s.pdf,Food Color,AWA Food Solutions,AWA Food Solutions,,24 months,,Lutein WS 10%,25 kg,"Store in a cool, dry place away from direct sunlight",None declared,,"Lutein WS 10%, food grade industrial ingredient."
255,Lutein WS 5%,Lutein Natural Color,Confectionery,Sugar Confectionery,Hard / Soft Candies,Brilliant lemon-yellow natural shade with clean sensory profile.,Yes,Not found for any variants,Analyst Proposed,Missing TDS - Urgent R&D Request,[Catalog TDS Reference Linked]: Natural Colors (TDS)s.pdf | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Concentration / Grade Variant (Same Application),Lutein WS 10%,Natural Colors (TDS)s.pdf,Food Color,AWA Food Solutions,AWA Food Solutions,,24 months,,Lutein WS 5%,25 kg,"Store in a cool, dry place away from direct sunlight",None declared,,"Lutein WS 5%, food grade industrial ingredient."
256,Maltodextrine-Local-25kg,Maltodextrine-Local-25kg,Beverages,Instant Drinks & Clouding,Instant RTD Mixes & Cloudy Beverages,"Provides cloud opacity, mouthfeel creaminess, body, and carrier functionality.",No,"No, and doesn't have variants",Analyst Proposed,Missing TDS - Urgent R&D Request,[Catalog TDS Reference Linked]: Bio Ingredints Portfolio B2B.PDF | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Single Product,None,Bio Ingredints Portfolio B2B.PDF,Sweetener / Carrier,AWA Food Solutions,AWA Food Solutions,,24 months,,Maltodextrine-Local-25kg,25kg,"Store in a cool, dry place away from direct sunlight",None declared,,"Maltodextrine-Local-25kg, food grade industrial ingredient."
257,Marjoram Oleoresin 1001,Marjoram Oleoresin,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Concentrated standardized spice flavor profile for topical dusting and snacks.,No,"No, and doesn't have variants",Analyst Proposed,Missing TDS - Urgent R&D Request,[Catalog TDS Reference Linked]: Oleoresins (TDS)s.pdf | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Single Product,None,Oleoresins (TDS)s.pdf,Oleoresin,AWA Bio,AWA Bio,,24 months,,Marjoram Oleoresin 1001,25 kg,"Store in a cool, dry place away from direct sunlight",None declared,,"Marjoram Oleoresin 1001, food grade industrial ingredient."
258,MEAT FLAVOR S0843603,MEAT FLAVOR S0843603,Meat & Poultry,Processed Meat,Emulsified Sausages & Restructured Meat,"Optimizes meat protein binding, cured color fixation, texture cross-linking, and shelf-life extension in sausages, luncheon, and beef pastrami.",No,"No, and doesn't have variants",Analyst Proposed,Missing TDS - Urgent R&D Request,[Catalog TDS Reference Linked]: Bio Ingredints Portfolio B2B.PDF | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Single Product,None,Bio Ingredints Portfolio B2B.PDF,Food Ingredient,AWA Food Solutions,AWA Food Solutions,,24 months,,MEAT FLAVOR S0843603,25 kg,"Store in a cool, dry place away from direct sunlight",None declared,,"MEAT FLAVOR S0843603, food grade industrial ingredient."
259,Meat Protein,Meat Protein,Meat & Poultry,Minced Meat & Meat Alternatives,"Burgers, Kofta & Plant-Based Nuggets","Provides meat-like fibrous chewiness, binds fat and water, reduces formulation cost, and builds structure in meat patties and plant-based nuggets.",No,"No, and doesn't have variants",Analyst Proposed,Missing TDS - Urgent R&D Request,[Catalog TDS Reference Linked]: Bio Ingredints Portfolio B2B.PDF | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Single Product,None,Bio Ingredints Portfolio B2B.PDF,Protein,AWA Food Solutions,AWA Food Solutions,,24 months,,Meat Protein,25 kg,"Store in a cool, dry place away from direct sunlight",None declared,,"Meat Protein, food grade industrial ingredient."
260,Non Dairy Creamer,Non Dairy Creamer,Beverages,Instant Drinks & Clouding,Instant RTD Mixes & Cloudy Beverages,"Provides cloud opacity, mouthfeel creaminess, body, and carrier functionality.",No,"No, and doesn't have variants",Analyst Proposed,Missing TDS - Urgent R&D Request,[Catalog TDS Reference Linked]: Bio Ingredints Portfolio B2B.PDF | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Single Product,None,Bio Ingredints Portfolio B2B.PDF,Food Ingredient,AWA Food Solutions,AWA Food Solutions,,24 months,,Non Dairy Creamer,25 kg,"Store in a cool, dry place away from direct sunlight",None declared,,"Non Dairy Creamer, food grade industrial ingredient."
261,Onion Oleoresin 1002,Onion Oleoresin,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Authentic pungent allium sulfur aroma and fresh taste notes at micro-dosage.,Yes,"No, but copied variant",Analyst Proposed,Inherited Sibling Specs (Direct TDS Required),[Catalog TDS Reference Linked]: Onion Oil (Essential Oils).pdf | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Concentration / Grade Variant (Same Application),Onion Oleoresin 1001; Onion Oleoresin 1003; Onion Oleoresin 1004; Onion Oleoresin 50/50; Onion Oleoresin 60/40; Onion Oleoresin 70/30; Onion Oleoresin 80/20; Onion Oleoresin 90/10,Onion Oil (Essential Oils).pdf,Oleoresin,AWA Bio,AWA Bio,,24 months,,Onion Oleoresin 1002,25 kg,"Store in a cool, dry place away from direct sunlight",None declared,,"Onion Oleoresin 1002, food grade industrial ingredient."
262,Onion Oleoresin 1003,Onion Oleoresin,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Authentic pungent allium sulfur aroma and fresh taste notes at micro-dosage.,Yes,"No, but copied variant",Analyst Proposed,Inherited Sibling Specs (Direct TDS Required),[Catalog TDS Reference Linked]: Onion Oil (Essential Oils).pdf | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Concentration / Grade Variant (Same Application),Onion Oleoresin 1001; Onion Oleoresin 1002; Onion Oleoresin 1004; Onion Oleoresin 50/50; Onion Oleoresin 60/40; Onion Oleoresin 70/30; Onion Oleoresin 80/20; Onion Oleoresin 90/10,Onion Oil (Essential Oils).pdf,Oleoresin,AWA Bio,AWA Bio,,24 months,,Onion Oleoresin 1003,25 kg,"Store in a cool, dry place away from direct sunlight",None declared,,"Onion Oleoresin 1003, food grade industrial ingredient."
263,Onion Oleoresin 1004,Onion Oleoresin,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Authentic pungent allium sulfur aroma and fresh taste notes at micro-dosage.,Yes,"No, but copied variant",Analyst Proposed,Inherited Sibling Specs (Direct TDS Required),[Catalog TDS Reference Linked]: Onion Oil (Essential Oils).pdf | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Concentration / Grade Variant (Same Application),Onion Oleoresin 1001; Onion Oleoresin 1002; Onion Oleoresin 1003; Onion Oleoresin 50/50; Onion Oleoresin 60/40; Onion Oleoresin 70/30; Onion Oleoresin 80/20; Onion Oleoresin 90/10,Onion Oil (Essential Oils).pdf,Oleoresin,AWA Bio,AWA Bio,,24 months,,Onion Oleoresin 1004,25 kg,"Store in a cool, dry place away from direct sunlight",None declared,,"Onion Oleoresin 1004, food grade industrial ingredient."
264,Onion Oleoresin 50/50,Onion Oleoresin,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Authentic pungent allium sulfur aroma and fresh taste notes at micro-dosage.,Yes,"No, but copied variant",Analyst Proposed,Inherited Sibling Specs (Direct TDS Required),[Catalog TDS Reference Linked]: Onion Oil (Essential Oils).pdf | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Concentration / Grade Variant (Same Application),Onion Oleoresin 1001; Onion Oleoresin 1002; Onion Oleoresin 1003; Onion Oleoresin 1004; Onion Oleoresin 60/40; Onion Oleoresin 70/30; Onion Oleoresin 80/20; Onion Oleoresin 90/10,Onion Oil (Essential Oils).pdf,Oleoresin,AWA Bio,AWA Bio,,24 months,,Onion Oleoresin 50/50,25 kg,"Store in a cool, dry place away from direct sunlight",None declared,,"Onion Oleoresin 50/50, food grade industrial ingredient."
265,Onion Oleoresin 60/40,Onion Oleoresin,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Authentic pungent allium sulfur aroma and fresh taste notes at micro-dosage.,Yes,"No, but copied variant",Analyst Proposed,Inherited Sibling Specs (Direct TDS Required),[Catalog TDS Reference Linked]: Onion Oil (Essential Oils).pdf | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Concentration / Grade Variant (Same Application),Onion Oleoresin 1001; Onion Oleoresin 1002; Onion Oleoresin 1003; Onion Oleoresin 1004; Onion Oleoresin 50/50; Onion Oleoresin 70/30; Onion Oleoresin 80/20; Onion Oleoresin 90/10,Onion Oil (Essential Oils).pdf,Oleoresin,AWA Bio,AWA Bio,,24 months,,Onion Oleoresin 60/40,25 kg,"Store in a cool, dry place away from direct sunlight",None declared,,"Onion Oleoresin 60/40, food grade industrial ingredient."
266,Onion Oleoresin 70/30,Onion Oleoresin,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Authentic pungent allium sulfur aroma and fresh taste notes at micro-dosage.,Yes,"No, but copied variant",Analyst Proposed,Inherited Sibling Specs (Direct TDS Required),[Catalog TDS Reference Linked]: Onion Oil (Essential Oils).pdf | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Concentration / Grade Variant (Same Application),Onion Oleoresin 1001; Onion Oleoresin 1002; Onion Oleoresin 1003; Onion Oleoresin 1004; Onion Oleoresin 50/50; Onion Oleoresin 60/40; Onion Oleoresin 80/20; Onion Oleoresin 90/10,Onion Oil (Essential Oils).pdf,Oleoresin,AWA Bio,AWA Bio,,24 months,,Onion Oleoresin 70/30,25 kg,"Store in a cool, dry place away from direct sunlight",None declared,,"Onion Oleoresin 70/30, food grade industrial ingredient."
267,Onion Oleoresin 80/20,Onion Oleoresin,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Authentic pungent allium sulfur aroma and fresh taste notes at micro-dosage.,Yes,"No, but copied variant",Analyst Proposed,Inherited Sibling Specs (Direct TDS Required),[Catalog TDS Reference Linked]: Onion Oil (Essential Oils).pdf | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Concentration / Grade Variant (Same Application),Onion Oleoresin 1001; Onion Oleoresin 1002; Onion Oleoresin 1003; Onion Oleoresin 1004; Onion Oleoresin 50/50; Onion Oleoresin 60/40; Onion Oleoresin 70/30; Onion Oleoresin 90/10,Onion Oil (Essential Oils).pdf,Oleoresin,AWA Bio,AWA Bio,,24 months,,Onion Oleoresin 80/20,25 kg,"Store in a cool, dry place away from direct sunlight",None declared,,"Onion Oleoresin 80/20, food grade industrial ingredient."
268,Onion Oleoresin 90/10,Onion Oleoresin,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Authentic pungent allium sulfur aroma and fresh taste notes at micro-dosage.,Yes,"No, but copied variant",Analyst Proposed,Inherited Sibling Specs (Direct TDS Required),[Catalog TDS Reference Linked]: Onion Oil (Essential Oils).pdf | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Concentration / Grade Variant (Same Application),Onion Oleoresin 1001; Onion Oleoresin 1002; Onion Oleoresin 1003; Onion Oleoresin 1004; Onion Oleoresin 50/50; Onion Oleoresin 60/40; Onion Oleoresin 70/30; Onion Oleoresin 80/20,Onion Oil (Essential Oils).pdf,Oleoresin,AWA Bio,AWA Bio,,24 months,,Onion Oleoresin 90/10,25 kg,"Store in a cool, dry place away from direct sunlight",None declared,,"Onion Oleoresin 90/10, food grade industrial ingredient."
269,Paprika Oleoresin 1000,Paprika Oleoresin,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Standardized carotenoid color (ASTA / Color Units) combined with authentic sweet paprika aroma.,Yes,"No, but copied variant",Analyst Proposed,Inherited Sibling Specs (Direct TDS Required),[Catalog TDS Reference Linked]: TDS.Specif. PP 60 asta ST hot 20.000 shu-rev. 3.pdf | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Concentration / Grade Variant (Same Application),"Paprika Oleoresin 20,000 CU; Paprika Oleoresin 100,000 CU; Paprika Oleoresin 1001; Paprika Oleoresin 1002; Paprika Oleoresin 1003; Paprika Oleoresin 1004; Paprika Oleoresin 1005; Paprika Oleoresin 1006; Paprika Oleoresin 1007; Paprika Oleoresin 1008; Paprika Oleoresin 1009; Paprika Oleoresin 1010; Paprika Oleoresin 1011; Paprika Oleoresin 1012; Paprika Oleoresin 1013; Paprika Oleoresin 1014; Paprika Oleoresin 1015; Paprika Oleoresin 1016; Paprika Oleoresin 1017; Paprika Oleoresin 1018; Paprika Oleoresin 1019; Paprika Oleoresin 1020; Paprika Oleoresin 1021; Paprika Oleoresin 1022; Paprika Oleoresin 1023; Paprika Oleoresin 40,000 CU; Paprika Oleoresin 40,000 CU OS; Paprika Oleoresin 40,000 CU WS; Paprika Oleoresin 60,000 CU; Paprika Oleoresin 80,000 CU",TDS.Specif. PP 60 asta ST hot 20.000 shu-rev. 3.pdf,Oleoresin,AWA Bio,AWA Bio,,24 months,,Paprika Oleoresin 1000,HDPE containers / standard food grade packaging,"Store in a cool, dry place away from direct sunlight",None declared,Dark red oil liquid Visual,"OLEORESIN PAPRIKA (Paprika): is obtained by solvent extraction of paprika, Capsicum annuum L.(family: Solanaceae) followed by washing with an alcoholic solvent to remove pungency"
270,Paprika Oleoresin 1001,Paprika Oleoresin,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Standardized carotenoid color (ASTA / Color Units) combined with authentic sweet paprika aroma.,Yes,"No, but copied variant",Analyst Proposed,Inherited Sibling Specs (Direct TDS Required),[Catalog TDS Reference Linked]: TDS.Specif. PP 60 asta ST hot 20.000 shu-rev. 3.pdf | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Concentration / Grade Variant (Same Application),"Paprika Oleoresin 20,000 CU; Paprika Oleoresin 100,000 CU; Paprika Oleoresin 1000; Paprika Oleoresin 1002; Paprika Oleoresin 1003; Paprika Oleoresin 1004; Paprika Oleoresin 1005; Paprika Oleoresin 1006; Paprika Oleoresin 1007; Paprika Oleoresin 1008; Paprika Oleoresin 1009; Paprika Oleoresin 1010; Paprika Oleoresin 1011; Paprika Oleoresin 1012; Paprika Oleoresin 1013; Paprika Oleoresin 1014; Paprika Oleoresin 1015; Paprika Oleoresin 1016; Paprika Oleoresin 1017; Paprika Oleoresin 1018; Paprika Oleoresin 1019; Paprika Oleoresin 1020; Paprika Oleoresin 1021; Paprika Oleoresin 1022; Paprika Oleoresin 1023; Paprika Oleoresin 40,000 CU; Paprika Oleoresin 40,000 CU OS; Paprika Oleoresin 40,000 CU WS; Paprika Oleoresin 60,000 CU; Paprika Oleoresin 80,000 CU",TDS.Specif. PP 60 asta ST hot 20.000 shu-rev. 3.pdf,Oleoresin,AWA Bio,AWA Bio,,24 months,,Paprika Oleoresin 1001,HDPE containers / standard food grade packaging,"Store in a cool, dry place away from direct sunlight",None declared,Dark red oil liquid Visual,"OLEORESIN PAPRIKA (Paprika): is obtained by solvent extraction of paprika, Capsicum annuum L.(family: Solanaceae) followed by washing with an alcoholic solvent to remove pungency"
